State,National Park,
ALABAMA:,Natchez Trace Parkway,
ALABAMA:,Natchez Trace NST,
ALABAMA:,Selma to Montgomery NHT,
ALABAMA:,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
ALASKA,Alaska Public Lands,Anchorage
,,
ARIZONA,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
ARIZONA,Juan Bautista de Anza,"Nogales, AZ to San Francisco, CA, AZ,CA"
ARIZONA,Lake Mead NRA,"the Mojave Desert, AZ,NV"
ARIZONA,Old Spanish NHT,"AZ,CA,CO,NV,NM,UT"
,,
ARKANSAS,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
ARKANSAS,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
CALIORNIA,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
CALIORNIA,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
CALIORNIA,Juan Bautista de Anza,"Nogales, AZ to San Francisco, CA, AZ,CA"
CALIORNIA,Old Spanish NHT,"AZ,CA,CO,NV,NM,UT"
CALIORNIA,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
,,
COLORADO,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
COLORADO,Old Spanish NHT,"AZ,CA,CO,NV,NM,UT"
COLORADO,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
COLORADO,Santa Fe,"CO,KS,MO,NM,OK"
,,
CONNECTICUT,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
CONNECTICUT,New England,"MA,CT"
CONNECTICUT,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
DELAWARE,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
DELAWARE,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
DELAWARE,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
GEORGIA,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
GEORGIA,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
HAWAII,Ala Kahakai NHT,"the Island of Hawaii, HI"
,,
IDAHO,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
IDAHO,Ice Age Floods NGT,"WA,OR,ID,MT"
IDAHO,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
IDAHO,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
,,
ILLINOIS,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
ILLINOIS,Mormon Pioneer,"Various States IL,IA,NE,UT,WY"
ILLINOIS,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
INDIANA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
,,
IOWA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
IOWA,Mormon Pioneer,"Various States IL,IA,NE,UT,WY"
,,
KANSAS,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
